driverId,week,hours-logged,miles-logged
105,43,77,1200
31,22,54,1100
91,6,71,700
67,51,56,3700
43,15,67,2100
84,18,51,1000
103,43,66,1700
20,24,69,1200
95,12,67,0
17,39,52,3400
37,43,78,2700
82,3,56,3400
70,19,56,2100
21,37,69,700
57,49,52,2400
89,38,50,1000
77,25,54,900
81,42,55,2900
49,21,64,1800
61,49,64,1900
76,30,59,2800
38,42,58,700
10,22,50,1000
56,35,67,1500
43,34,68,1200
37,24,64,3100
102,39,71,3600
36,50,77,100
41,2,77,1100
22,1,73,2100
82,19,55,3700
22,17,68,2800
75,23,62,300
66,19,74,3400
23,19,69,500
10,40,55,1900
74,29,70,1500
98,5,77,2000
59,24,61,3000
99,38,53,1900
84,13,64,400
47,24,53,1700
106,34,58,2900
64,21,52,3300
76,47,80,900
92,46,75,1300
68,52,54,2600
50,13,60,4000
25,12,54,3400
55,25,66,1900
91,35,54,400
69,44,64,1200
19,8,70,3200
69,42,66,2600
56,10,50,1600
28,38,60,700
30,34,65,1000
100,45,66,1900
65,42,50,1300
45,40,76,300
39,8,69,100
86,13,54,2900
105,2,79,1600
28,51,80,1600
61,7,63,1400
83,50,66,700
55,10,78,900
73,25,62,3000
82,7,57,3700
48,32,59,1400
51,49,57,200
67,8,75,3500
107,20,62,3700
57,46,70,3400
40,13,50,2600
41,31,57,500
46,8,59,1100
76,45,57,1500
81,40,71,800
23,31,75,1300
32,28,58,1400
81,4,56,2500
52,1,58,3100
33,5,55,3700
87,28,78,3200
73,41,63,1700
49,10,67,1000
105,39,63,2500
22,43,63,2400
62,27,50,1700
56,7,73,4000
20,12,63,2200
10,32,60,1400
81,20,77,3800
11,23,52,1000
84,18,80,300
30,49,78,3100
79,21,51,200
70,35,79,1000
70,29,54,3200
32,11,78,1400
71,32,54,4000
78,6,56,1700
61,3,57,3700
12,8,52,600
74,15,53,200
100,43,79,2000
88,51,76,2100
66,24,63,1700
43,27,72,3800
65,20,66,3200
85,51,67,2600
47,7,69,2200
54,17,64,4000
80,29,59,3900
65,10,61,2600
34,4,64,2100
14,41,51,1800
19,22,73,500
89,41,51,1800
97,30,64,0
27,30,70,500
69,21,68,3500
108,33,62,3800
29,21,66,1200
79,20,76,1700
86,34,75,1200
63,27,70,2100
82,40,65,1900
34,25,66,3500
105,26,63,3200
21,50,57,2700
92,32,70,1800
98,22,57,200
108,11,56,2400
74,10,80,800
22,16,65,1700
52,22,78,2700
77,35,52,2000
26,18,77,2500
